sample_id,timestamp,Label,Max_Amplitude,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64
305,0,Fake,3759,0,0,9,105,278,367,459,572,686,788,882,1058,1103,1266,1297,1568,1647,1865,1925,2003,2097,2224,2352,2448,2559,2688,2827,2918,2766,3178,3289,3550,3759,3409,3344,3184,3027,2903,2778,2660,2532,2449,2326,2166,2080,1897,1658,1728,1565,1468,1282,1232,1136,1002,895,752,627,549,498,296,131,124,0,0
306,0,Fake,3824,0,0,12,64,205,329,447,593,691,796,907,1055,1182,1297,1390,1520,1494,1904,1879,2031,2238,2193,2336,2446,2622,2688,2811,2946,3084,3219,3344,3482,3729,3581,3824,2961,3046,2911,2785,2647,2526,2416,2322,2184,1938,1966,1831,1677,1635,1569,1334,1219,1114,976,870,738,657,511,405,274,186,66,0,0
307,0,Fake,3728,0,0,0,107,219,327,444,576,688,795,912,1040,1155,1273,1392,1509,1632,1746,1865,1987,2103,2211,2324,2462,2559,2678,2809,2937,3083,3222,3376,3548,3728,3533,3354,3183,3039,2901,2790,2667,2527,2415,2293,2183,2071,1943,1824,1701,1590,1471,1344,1223,1117,997,873,751,640,524,404,291,170,61,0,0
308,0,Fake,3712,0,0,0,124,225,376,400,558,596,899,1056,1040,1157,1281,1373,1493,1622,1758,1883,1968,2008,2257,2385,2480,2547,2690,2809,2946,3085,3220,3383,3538,3712,3527,3480,3239,3107,2912,2770,2661,2539,2432,2314,2172,2064,1943,1828,1699,1602,1415,1355,1040,948,994,864,759,625,543,385,299,170,147,0,0
309,0,Fake,3729,0,0,0,107,214,357,464,580,697,849,915,1070,1162,1317,1380,1607,1632,1753,1883,1977,2117,2246,2287,2450,2597,2807,2753,2993,3114,3219,3367,3565,3729,3511,3349,3200,3009,2909,3034,2687,2448,2393,2404,2024,2096,1939,1833,1671,1600,1494,1349,1250,1231,1007,895,752,683,475,390,294,189,70,0,0
310,0,Fake,3783,0,0,0,112,292,337,400,463,763,797,903,1042,1183,1329,1371,1534,1604,1750,1905,1912,2072,2179,2347,2342,2559,2686,2810,2928,3067,3215,3398,3567,3783,3547,3206,3216,3107,2926,2768,2653,2512,2405,2310,2210,2012,1956,1824,1644,1664,1476,1296,1280,1094,994,877,703,672,523,405,304,178,0,0,0
311,0,Fake,3785,0,0,0,82,208,361,415,538,679,831,833,1060,1214,1373,1346,1493,1641,1737,1903,2005,2098,2194,2336,2604,2559,2675,2741,2956,3071,3216,3393,3572,3785,3547,3242,3222,3053,2918,2768,2727,2455,2379,2351,2186,2070,1950,1834,1701,1588,1433,1355,1140,1140,936,837,737,601,533,401,297,193,57,0,0
312,0,Fake,3831,0,0,5,75,183,381,418,558,662,779,942,1043,1100,1246,1392,1503,1606,1759,1854,1923,2208,2191,2208,2499,2559,2701,2839,2930,3071,3194,3378,3563,3831,3663,3315,3245,3060,2868,2771,2652,2527,2386,2307,2179,2097,1939,1535,1727,1783,1657,1225,1088,1077,994,855,726,656,536,407,337,23,162,0,0
313,0,Fake,3779,0,0,0,89,214,334,445,565,663,774,931,1057,1161,1331,1420,1504,1639,1793,1835,1997,2103,2213,2327,2477,2559,2710,2818,2947,3131,3206,3390,3779,3730,3531,3344,3171,3031,2914,2768,2688,2531,2416,2256,2394,2096,1990,1806,1727,1587,1487,1251,1157,1115,1008,879,682,543,572,444,242,176,61,0,0
314,0,Fake,3825,0,0,0,103,211,342,465,559,721,782,919,1000,1179,1259,1584,1498,1767,1769,1872,1988,2141,2218,2357,2448,2594,2674,2734,2842,3039,3279,3536,3547,3825,3553,3369,3153,3041,2926,2790,2651,2534,2335,2327,2125,2256,1916,1821,1698,1601,1488,1348,1247,1114,984,824,679,691,499,379,290,170,62,0,0
315,0,Fake,3734,0,0,0,102,268,335,368,587,660,702,928,1046,1161,1223,1392,1471,1643,1744,1732,1862,2194,2288,2242,2447,2559,2697,2817,2949,3081,3203,3328,3571,3734,3515,3324,3125,3013,2943,2774,2689,2521,2442,2319,2176,2031,1779,1661,1698,1579,1426,1313,1217,1094,993,896,742,646,511,393,286,72,59,0,0
316,0,Fake,3671,0,0,0,103,208,330,463,560,700,804,867,1019,1144,1264,1560,1523,1657,1728,1930,1955,2108,2162,2349,2511,2545,2701,2826,2966,3286,3215,3374,3671,3668,3556,3370,3209,2994,2943,2815,2608,2672,2359,2144,2182,2053,1958,1837,1729,1585,1403,1345,1157,1135,1058,868,639,580,530,403,303,169,54,0,0
317,0,Fake,3731,0,0,0,109,208,327,447,571,689,803,912,1035,1153,1271,1399,1513,1629,1747,1865,1990,2106,2221,2320,2448,2559,2694,2802,2927,3062,3223,3381,3557,3731,3531,3376,3193,2975,2896,2775,2654,2494,2415,2289,2174,2071,1953,1823,1702,1574,1405,1344,1281,1112,928,863,642,619,619,415,288,193,54,0,0
318,0,Fake,3647,0,0,0,97,214,304,453,590,675,817,883,1008,1157,1267,1386,1479,1621,1771,1874,1931,2108,2222,2414,2427,2520,2695,2890,2935,3057,3211,3383,3570,3647,3531,3280,3127,3045,2843,2732,2542,2372,2429,2305,2149,2035,1942,1838,1732,1651,1511,1398,1235,1104,1014,629,756,603,553,402,272,175,37,0,0
319,0,Fake,3731,0,0,0,98,240,192,452,566,627,834,906,1041,1153,1226,1264,1526,1627,1760,1815,1833,2115,2222,2333,2451,2585,2686,2797,2950,3065,3206,3370,3507,3731,3567,3357,3171,3045,2890,2784,2647,2548,2416,2447,2192,2000,1865,1805,1743,1583,1459,1344,1213,1152,976,864,774,626,578,378,342,174,97,0,0
320,0,Fake,3730,0,0,0,118,181,318,427,560,670,797,866,1050,1159,1296,1402,1505,1622,1750,1963,1760,2301,2194,2336,2461,2548,2673,2842,2929,3088,3206,3365,3528,3730,3531,3255,3184,3034,2914,2779,2657,2529,2414,2308,2182,2051,1937,1818,1717,1590,1459,1342,1225,1107,985,866,750,635,528,397,285,176,61,0,0
321,0,Fake,3733,0,0,0,100,203,408,445,511,674,804,916,1041,1123,1273,1366,1497,1676,1751,1910,1981,2069,2261,2338,2436,2543,2690,2787,2944,3061,3216,3369,3541,3733,3515,3327,3190,3022,2918,2789,2653,2527,2462,2287,2372,1911,1958,1810,1745,1595,1555,1342,1229,1107,1018,891,771,644,511,415,271,64,48,0,0
322,0,Fake,3741,0,0,0,101,254,323,446,557,580,802,900,1038,1170,1267,1225,1432,1673,1759,1784,1995,2103,2235,2352,2455,2559,2731,2800,2935,2967,3058,3303,3551,3741,3519,3337,3167,3033,2914,2723,2647,2515,2330,2411,2141,2064,1936,1781,1633,1594,1449,1370,1240,1136,927,855,751,684,432,303,269,180,59,0,0
323,0,Fake,3728,0,0,0,101,207,352,460,551,712,806,871,999,1198,1246,1388,1520,1603,1726,1869,1975,2104,2235,2337,2443,2645,2682,2786,2816,3071,3298,3392,3565,3728,3548,3376,3221,3054,2971,2815,2675,2642,2485,2316,2177,2016,1942,1827,1707,1578,1464,1347,1231,1104,991,867,754,637,534,401,289,176,59,0,0
324,0,Fake,3750,0,0,0,107,228,311,442,573,678,784,913,1105,1168,1195,1455,1510,1598,1753,1868,2005,2086,2211,2335,2395,2559,2761,2785,3069,3057,3280,3322,3548,3750,3526,3339,3135,3054,2852,2771,2542,2506,2303,2299,2319,1999,1936,1813,1709,1582,1565,1352,1210,1117,963,845,775,618,486,311,273,173,75,0,0
325,0,Fake,3738,0,0,33,86,207,240,414,610,719,789,912,1067,1136,1315,1382,1472,1638,1627,1883,1971,1952,2262,2299,2449,2581,2686,2800,2954,3065,3221,3375,3671,3738,3456,3321,3343,2899,2898,2786,2677,2537,2399,2291,2174,2090,1930,1836,1595,1528,1504,1363,1190,1109,988,889,749,644,511,400,269,182,90,0,0
326,0,Fake,3744,0,0,0,108,211,336,439,571,688,801,917,1040,1167,1280,1395,1495,1631,1754,1872,1983,2099,2215,2339,2463,2559,2682,2819,2945,3071,3222,3365,3557,3744,3529,3344,3175,3035,2922,2786,2647,2530,2415,2300,2187,2067,1951,1824,1699,1593,1467,1340,1231,1104,989,876,757,631,524,403,286,175,61,0,0
327,0,Fake,3734,0,0,0,140,211,354,437,573,802,953,913,1043,1214,1228,1395,1505,1665,1749,1883,1937,2118,2266,2270,2423,2559,2688,2785,2982,3083,3216,3375,3549,3734,3537,3350,3194,3361,2893,2779,2689,2418,2418,2226,2192,2005,1941,1833,1719,1606,1463,1507,1345,1104,1106,1013,715,643,524,383,272,149,39,0,0
328,0,Fake,3728,0,0,0,37,235,237,455,597,703,816,913,1050,1168,1307,1386,1507,1617,1817,1855,1877,2091,2210,2304,2461,2559,2681,2823,2953,3071,3197,3370,3553,3728,3388,3341,3033,3200,2909,2785,2692,2523,2416,2319,2187,2075,2032,1825,1824,1578,1481,1365,1191,1115,933,880,765,624,500,395,307,112,4,0,0
329,0,Fake,3731,0,0,0,104,212,334,454,560,681,798,918,1042,1158,1275,1389,1497,1644,1753,1867,1987,2098,2224,2340,2446,2559,2688,2819,2951,3063,3204,3367,3569,3731,3534,3338,3186,3045,2912,2779,2653,2529,2427,2306,2192,2067,1939,1835,1712,1580,1456,1344,1216,1118,997,870,746,640,527,407,286,174,51,0,0
330,0,Fake,3744,0,0,0,100,220,315,419,557,800,639,841,1023,1081,1327,1254,1518,1630,1759,1869,1963,2097,2206,2336,2426,2512,2646,2870,2932,2992,3211,3376,3565,3744,3530,3351,3184,3047,2917,2757,2669,2544,2404,2466,2176,1989,1933,1839,1718,1599,1401,1343,1230,1113,978,864,739,605,545,401,292,191,66,0,0
331,0,Fake,3747,0,0,0,98,223,276,428,547,693,767,949,1047,1203,1273,1367,1525,1641,1709,1889,2013,2092,2176,2290,2352,2559,2688,2818,2928,3068,3223,3374,3570,3747,3521,3699,3321,3105,2923,2467,2675,2530,2442,2289,2186,2062,1942,1777,1850,1627,1461,1293,1271,1168,1007,864,741,643,538,386,234,202,51,0,0
332,0,Fake,3914,0,0,0,110,224,343,434,592,689,879,907,1023,1149,1270,1387,1473,1626,1747,1860,1980,2107,2177,2329,2337,2515,2992,2810,2942,3062,3213,3362,3557,3914,3520,3344,3181,3159,2922,2781,2654,2515,2415,2305,2136,2072,1904,1828,1691,1578,1338,1390,1219,965,977,657,825,630,528,405,286,176,61,0,0
333,0,Fake,3715,0,0,0,103,214,456,451,665,640,805,955,1008,1153,1232,1442,1487,1650,1759,1872,2064,2019,2271,2359,2430,2704,2687,2811,2919,3152,3249,3349,3561,3715,3529,3328,3328,3006,2882,2994,2672,2518,2403,2294,2134,2062,1939,1815,1821,1512,1455,1429,1169,1184,955,865,745,635,475,420,265,173,136,0,0
334,0,Fake,3712,0,0,0,97,218,369,433,507,586,752,924,1040,1218,1263,1392,1509,1648,1743,1848,1968,2093,2186,2395,2432,2550,2668,2811,2928,3063,3215,3369,3558,3712,3558,3379,3251,3010,2903,2721,2681,2663,2399,2301,2181,2074,1937,1835,1741,1598,1475,1296,1107,1078,976,961,753,642,511,444,263,171,47,0,0
335,0,Fake,3714,0,0,3,80,259,324,449,573,687,779,908,975,1153,1281,1520,1583,1792,1790,1829,1952,2097,2209,2315,2451,2586,2626,2813,2923,2932,3202,3433,3495,3714,3530,3347,3184,3041,2908,2783,2672,2498,2407,2247,2266,2079,1967,1790,1635,1587,1463,1280,1294,1106,991,816,724,633,531,429,243,160,82,0,0
336,0,Fake,3742,0,0,0,108,205,384,466,705,579,816,921,1034,1189,1202,1392,1494,1643,1750,1857,1937,2118,2256,2287,2445,2559,2674,2830,2989,3051,3206,3378,3574,3742,3459,3250,3209,2898,2919,2779,2659,2540,2434,2322,2179,2082,1937,1905,1662,1535,1486,1630,1165,1129,1003,890,749,624,511,411,273,139,91,107,0
337,0,Fake,3722,0,0,0,103,208,336,452,560,678,810,851,1063,1143,1215,1392,1526,1616,1747,1858,1934,2113,2224,2288,2512,2532,2621,2723,2943,3062,3218,3398,3565,3722,3501,3344,3200,3285,2828,2957,2712,2514,2376,2298,2186,2016,1947,1904,1711,1572,1470,1365,1206,1082,1093,832,839,636,510,400,281,174,63,0,0
338,0,Fake,3728,0,0,24,8,207,338,432,567,701,802,901,1036,1202,1204,1510,1515,1687,1741,1936,1854,2089,2225,2324,2442,2584,2704,2771,2942,2992,3243,3289,3604,3728,3532,3360,3184,2972,2919,2758,2645,2497,2416,2559,2156,1995,1969,1815,1717,1593,1432,1335,1217,1143,987,884,737,645,673,336,193,273,64,0,0
339,0,Fake,3715,0,0,0,103,219,385,429,560,674,804,897,1040,1152,1273,1422,1503,1621,1954,1890,2159,2114,2211,2330,2422,2559,2688,2818,2895,3069,3287,3547,3571,3715,3409,3363,3189,3058,2912,2699,2676,2531,2359,2290,1946,2053,1957,1831,1563,1570,1462,1350,1320,1103,993,942,734,639,528,474,235,240,62,0,0
340,0,Fake,3711,0,0,0,90,207,327,543,613,640,783,1002,1031,1152,1262,1462,1498,1625,1775,1823,1935,2270,2218,2237,2388,2470,2729,2801,2939,3083,3209,3395,3583,3711,3531,3204,3108,2995,2859,2723,2668,2531,2403,2330,2181,2090,1929,1830,1568,1783,1417,1334,1147,1084,1066,865,754,654,511,407,267,172,52,0,0
341,0,Fake,3699,0,0,0,95,206,332,448,560,673,771,896,1231,1203,1142,1350,1498,1628,1750,1875,1983,2096,2221,2283,2448,2592,2727,2700,2880,2841,3290,3373,3542,3699,3535,3367,3272,3038,2896,2673,2658,2588,2426,2504,2192,2069,1958,1818,1685,1609,1471,1355,1221,1001,968,825,787,580,563,400,292,199,64,0,0
342,0,Fake,3707,0,0,0,91,250,256,443,571,656,953,912,1061,1158,1245,1392,1509,1584,1750,1867,1983,2103,2227,2368,2431,2443,2736,2846,2981,3062,3216,3422,3577,3707,3520,3393,3178,2803,2886,2733,2607,2596,2430,2293,2178,2073,1963,1812,1697,1595,1452,1354,1296,1197,994,799,511,643,524,417,281,148,66,0,0
343,0,Fake,3735,0,0,0,103,210,337,483,560,709,816,836,1056,1200,1274,1371,1501,1633,1737,1884,1921,2086,2215,2419,2415,2559,2657,2787,2816,3068,3202,3386,3557,3735,3506,3366,3186,2886,2887,2784,2632,2709,2439,2308,2173,2018,1933,1828,1723,1594,1456,1397,1262,1090,987,907,703,631,511,439,279,168,78,0,0
344,0,Fake,3762,0,0,0,112,211,320,465,608,688,816,879,1029,1161,1309,1591,1488,1642,1808,1931,1978,2130,2233,2335,2447,2544,2677,2827,2917,3089,3281,3421,3583,3762,3526,3344,3185,3082,2926,2802,2650,2539,2402,2272,2160,2015,1958,1746,1712,1600,1462,1392,1242,1110,978,877,736,635,434,418,296,174,61,0,0
345,0,Fake,3701,0,0,0,119,223,358,432,548,654,795,896,1017,1063,1278,1395,1517,1594,1791,1874,1981,2103,2256,2345,2348,2527,2787,2729,2929,3065,3231,3372,3558,3701,3538,3344,3110,3062,2937,2761,2529,2542,2401,2293,2192,2065,1959,1810,1702,1575,1253,1329,1247,1103,1002,787,753,636,523,414,278,168,80,0,0
346,0,Fake,3730,0,0,0,80,210,325,427,543,663,711,1077,1139,1169,1354,1328,1504,1637,1809,1866,1937,2110,2230,2343,2455,2559,2738,2799,2919,3071,3200,3370,3536,3730,3503,3344,3183,3071,2936,2800,2760,2460,2417,2373,2183,2065,1907,1834,1712,1555,1488,1313,1187,1136,1171,848,823,405,539,401,284,195,1,0,0
347,0,Fake,3744,0,0,9,127,210,395,549,579,688,801,912,1023,1146,1215,1406,1484,1635,1747,1870,1840,2096,2122,2389,2426,2736,2693,2828,2940,3071,3220,3376,3577,3744,3395,3243,3151,3069,3070,2789,2667,2542,2399,2301,2179,2083,1955,1827,1904,1584,1523,1398,1184,901,1008,865,723,635,499,385,259,187,77,0,0
348,0,Fake,3737,0,0,0,31,224,273,511,548,612,803,913,1006,1141,1300,1335,1520,1638,1773,1849,1890,2070,2092,2311,2445,2557,2608,2811,2938,3126,3177,3369,3479,3736,3737,3303,3103,3120,2912,2782,2663,2534,2418,2304,2145,2081,1907,1843,1730,1527,1382,1337,1231,1115,1008,870,733,645,511,433,171,193,208,0,0
349,0,Fake,3701,0,0,0,93,184,336,450,816,578,768,896,1040,1120,1275,1389,1524,1622,1723,1821,1930,2103,2323,2352,2672,2640,2800,2717,2926,3069,3260,3339,3562,3701,3526,3342,3088,2979,2836,2778,2713,2527,2415,2294,2181,2069,1931,1838,1713,1585,1581,1220,1273,1126,1092,1030,749,626,451,394,299,123,79,0,0
350,0,Fake,3719,0,0,0,62,211,331,441,575,661,814,945,1033,1104,1266,1506,1483,1694,1837,1882,1979,2058,2225,2348,2457,2559,2732,2825,2855,3054,3243,3338,3611,3719,3519,3335,3184,3067,2915,2772,2654,2537,2469,2350,2211,2093,1887,1826,1703,1583,1456,1295,1152,1127,974,860,641,544,490,386,160,176,55,0,0
351,0,Fake,3730,0,0,0,100,210,334,439,565,670,787,907,1045,1153,1266,1388,1506,1636,1747,1859,1983,2096,2224,2336,2443,2559,2687,2825,2944,3055,3209,3379,3552,3730,3532,3344,3179,3038,2883,2772,2667,2544,2416,2304,2177,2057,1940,1814,1719,1586,1458,1342,1232,1115,997,871,747,641,527,403,284,169,63,0,0
352,0,Fake,3739,0,0,128,95,235,242,443,477,720,792,920,1057,1160,1260,1435,1424,1646,1744,1870,1981,2107,2212,2343,2448,2555,2701,2829,2951,3088,3209,3376,3563,3739,3522,3245,3385,3026,2910,2783,2645,2531,2380,2315,2163,2062,2000,1822,1657,1629,1463,1424,1229,1107,990,865,758,646,528,404,270,137,99,0,0
353,0,Fake,3714,0,0,0,97,221,321,458,577,652,790,913,960,1166,1238,1387,1535,1437,1762,1857,1991,2096,2219,2335,2438,2559,2532,2860,2884,3038,3298,3367,3554,3714,3536,3286,3193,3041,2903,2756,2559,2559,2320,2288,2298,1965,1936,1837,1738,1567,1441,1316,1228,1119,994,854,770,646,499,399,245,171,51,0,0
354,0,Fake,3762,0,0,0,101,211,328,461,561,683,791,914,1073,1179,1187,1355,1513,1569,1739,1909,1983,2105,2222,2329,2448,2559,2793,3067,3118,3239,3158,3465,3553,3762,3499,3323,3277,3030,2939,2783,2642,2544,2414,2256,2224,2063,1950,1819,1675,1565,1459,1340,1237,1109,838,822,881,656,540,395,287,176,46,0,0
355,0,Fake,3685,0,0,0,6,215,332,450,556,685,787,908,1053,1142,1262,1390,1482,1654,1712,1864,1982,2110,2234,2320,2448,2549,2684,2862,2967,3005,3412,3401,3367,3685,3509,3355,3199,3025,2901,2773,2655,2533,2441,2209,2260,2023,1805,1841,1706,1584,1423,1350,1191,1170,1004,880,719,646,511,384,291,169,61,0,0
356,0,Fake,3725,0,0,0,93,226,311,455,582,677,739,863,1034,1147,1269,1375,1486,1618,1724,1895,1989,2126,2227,2354,2448,2402,2659,2807,2944,3063,3129,3387,3533,3725,3524,3271,3152,3088,2906,2755,2751,2535,2403,2295,2176,2064,1895,1819,1495,1565,1601,1405,1232,1237,1014,877,752,407,511,399,316,176,70,0,0
357,0,Fake,3832,0,0,160,80,192,320,432,567,681,856,878,1040,1104,1233,1103,1467,1641,1769,1841,1953,2036,2234,2320,2455,2602,2704,2781,2947,3086,3280,3343,3832,3625,3526,3289,3185,2995,2929,2782,2678,2523,2420,2288,2196,2090,1839,1797,1695,1662,1458,1330,1236,1104,1002,861,711,635,689,497,209,169,68,0,0
358,0,Fake,3739,0,0,0,99,178,299,345,559,659,785,907,1023,1147,1270,1409,1509,1680,1755,1969,1975,2099,2225,2315,2462,2557,2679,2813,2941,3051,3174,3419,3548,3739,3696,3308,3371,3109,2986,2766,2655,2543,2418,2219,2194,2025,1936,1840,1698,1597,1451,1376,1065,1116,990,865,727,582,528,431,270,225,75,0,0
359,0,Fake,3735,0,0,0,101,205,327,433,574,656,815,902,1052,1137,1312,1345,1599,1600,1745,1846,2032,2128,2145,2324,2394,2559,2763,2901,2902,3027,3110,3374,3551,3735,3517,3312,3180,3009,2910,2775,2543,2465,2436,2256,1859,2093,1949,1825,1710,1577,1439,1351,1232,1088,1014,795,791,643,679,449,290,166,53,0,0
360,0,Fake,3737,0,0,0,7,196,281,367,595,678,815,912,1049,1142,1276,1382,1488,1653,1814,1866,1977,1955,2193,2343,2459,2558,2673,2806,2962,3098,3205,3343,3356,3737,3536,3362,3180,3029,2912,2793,2638,2544,2423,2286,2112,2151,1835,1779,1645,1870,1419,1354,1227,1141,999,911,746,611,531,301,278,141,42,80,0
361,0,Fake,3773,0,0,37,98,192,357,460,573,651,784,918,1035,1179,1227,1424,1488,1637,1766,1863,1837,2111,2206,2320,2444,2559,2673,2818,2960,3071,3331,3501,3568,3773,3579,3376,3177,2979,2928,2815,2643,2535,2422,2294,2192,2044,1936,1705,1554,1577,1457,1362,1271,1106,1006,865,762,647,530,399,317,211,162,0,0
362,0,Fake,3794,0,0,0,96,155,320,445,571,896,803,917,1040,1134,1280,1392,1519,1648,1741,1825,1928,2112,2242,2330,2469,2559,2672,2829,2942,3027,3211,3359,3728,3794,3506,3301,3207,3023,2912,2782,2657,2523,2435,2266,2174,2081,1945,1763,1789,1587,1401,1297,1226,1125,982,886,743,642,528,418,275,266,45,0,0
363,0,Fake,3696,0,0,0,105,203,313,528,580,667,859,912,1037,1134,1265,1398,1499,1620,1742,2016,2096,2129,2114,2332,2278,2559,2698,2662,2933,3055,3255,3379,3541,3696,3510,3337,3186,3024,2796,2774,2655,2539,2406,2330,2176,2082,1947,1829,1675,1771,1402,1312,1183,1111,985,922,749,617,464,357,264,171,103,0,0
364,0,Fake,3739,0,0,0,80,205,379,411,579,673,787,918,1038,1166,1264,1408,1671,1648,1750,1841,1969,2226,2210,2342,2446,2510,2706,2836,2943,3045,3265,3373,3603,3739,3530,3181,3179,3019,2901,2781,2655,2559,2392,2295,2177,1966,2077,1844,1723,1425,1461,1345,1218,1123,1042,859,778,623,509,310,181,170,65,0,0
365,0,Fake,3730,0,0,0,28,242,348,447,554,705,783,921,865,1158,1183,1418,1475,1601,1691,2029,1971,2096,2224,2339,2495,2559,2728,2807,2929,3120,3106,3392,3477,3730,3529,3344,3181,3061,2928,2768,2647,2517,2411,2374,2254,2029,1947,1801,1707,1589,1491,1328,1254,1106,942,894,742,754,551,409,279,67,56,0,0
366,0,Fake,3718,0,0,0,119,178,337,432,546,744,753,1088,978,1134,1295,1452,1424,1632,1763,1884,1915,2099,2196,2307,2214,2475,2617,2832,2946,3199,3123,3379,3539,3718,3664,3331,3206,2975,2899,2774,2590,2455,2402,2294,2161,2065,1938,1885,1707,1601,1535,1344,1211,1127,1011,880,759,639,576,400,286,166,59,0,0
367,0,Fake,3721,0,0,0,107,226,318,465,575,643,786,1040,940,1019,1314,1200,1487,1634,1733,1871,2001,2101,2231,2317,2431,2670,2896,2945,2866,3105,3206,3376,3600,3721,3536,3329,3138,3047,2908,2816,2643,2545,2518,2411,2183,2045,1946,1862,1696,1645,1398,1294,1207,1074,1003,810,846,651,591,400,282,153,58,0,0
368,0,Fake,3862,0,0,8,97,213,496,368,587,642,781,891,1099,1099,1267,1387,1506,1622,1744,1822,2000,1892,2180,2299,2465,2604,2546,2800,2943,3053,3205,3371,3555,3862,3533,3345,3121,3184,2935,2807,2663,2528,2421,2288,2194,2033,1938,1843,1692,1617,1515,1356,1206,1324,902,899,752,627,528,387,291,146,63,0,0
369,0,Fake,3727,0,0,0,103,161,322,447,576,668,789,974,1085,1152,1287,1567,1382,1624,1778,1981,1968,2112,2223,2352,2406,2559,2681,2803,2931,3011,3137,3253,3503,3727,3519,3338,3199,3053,2910,2773,2639,2521,2432,2327,2162,2111,1933,1773,1722,1479,1456,1392,1203,1156,987,891,755,549,703,385,246,68,65,0,0
370,0,Fake,3728,0,0,0,100,208,309,477,581,667,800,919,1041,1154,1252,1391,1528,1618,1595,1873,1984,2085,2208,2329,2448,2547,2688,2801,2849,3071,3161,3703,3555,3728,3535,3340,3184,3039,2924,2779,2653,2435,2402,2270,2174,1909,1888,1822,1707,1616,1483,1318,1210,1092,997,898,815,622,503,336,273,172,48,0,0
371,0,Fake,3715,0,0,0,78,208,326,432,545,674,821,884,1061,1155,1202,1391,1513,1632,1701,1861,1999,2129,2172,2544,2509,2527,2664,2767,2975,3056,3205,3381,3562,3715,3505,3286,3174,3036,2667,2756,2558,2481,2422,2287,2162,2064,1935,1819,1712,1589,1459,1347,1236,1075,921,891,546,621,511,401,271,195,48,0,0
372,0,Fake,3713,0,0,18,112,210,329,467,567,659,693,880,1043,941,1255,1392,1493,1632,1749,1811,2009,2109,2211,2667,2448,2598,2704,2929,2943,3068,3213,3350,3537,3713,3515,3305,3168,3005,2863,2763,2641,2340,2478,2304,2112,2080,2009,1803,1726,1593,1425,1335,1119,1099,1055,881,658,640,533,379,303,168,48,0,0
373,0,Fake,3733,0,0,0,101,210,323,445,563,670,798,912,1036,1157,1273,1390,1501,1642,1753,1868,1984,2096,2209,2343,2453,2558,2674,2800,2934,3067,3203,3374,3548,3733,3526,3352,3188,3036,2912,2781,2650,2524,2496,2289,2256,2064,1927,1818,1793,1559,1462,1344,1225,1110,988,867,751,631,559,410,288,167,48,0,0
374,0,Fake,3715,0,0,0,112,242,327,477,560,697,759,816,905,1232,1323,1387,1497,1601,1728,1873,1975,2117,2340,2307,2326,2559,2643,2794,2914,3067,3211,3314,3558,3715,3536,3344,3174,3141,2945,2871,2689,2592,2409,2289,2179,2097,1899,1852,1734,1601,1459,1307,1159,1104,1003,880,652,633,508,381,283,176,64,0,0
375,0,Fake,3703,0,0,0,103,214,311,468,550,711,853,897,1148,1122,1360,1153,1345,1654,1771,1856,2002,2106,2145,2329,2441,2480,2769,2829,3012,3071,3215,3369,3552,3703,3509,3349,3167,2990,2924,2789,2647,2670,2428,2279,2175,2154,1937,1819,1731,1654,1447,1347,1211,1127,1103,755,793,627,578,407,274,167,82,0,0
376,0,Fake,3714,0,0,0,106,217,320,441,561,682,794,907,1034,1152,1264,1392,1509,1629,1744,1860,1986,2113,2213,2320,2448,2559,2695,2797,2934,3058,3218,3391,3546,3714,3524,3344,3183,3029,2893,2769,2666,2538,2412,2307,2171,2075,1952,1814,1710,1589,1471,1349,1226,1107,978,865,751,636,511,397,280,174,64,0,0
377,0,Fake,3662,0,0,0,105,201,350,473,560,683,787,942,1047,1151,1126,1384,1499,1605,1737,1865,1968,2074,2214,2322,2540,2498,2637,2830,2832,3043,3214,3383,3583,3662,3523,3345,3186,3042,2894,2672,2606,2485,2412,2288,2182,2053,1938,1833,1693,1571,1475,1275,1195,1249,979,879,869,657,511,388,306,149,48,0,0
378,0,Fake,3711,0,0,0,80,210,347,448,558,674,782,880,1002,1140,1264,1376,1487,1658,1756,1894,2136,2161,2219,2325,2433,2559,2681,2846,2911,3058,3046,3362,3711,3703,3516,3101,3120,3046,2924,2783,2667,2524,2449,2303,2243,1918,1874,1797,1758,1735,1447,1341,1234,1108,982,867,768,602,638,402,294,118,148,0,0
379,0,Fake,3789,0,0,0,146,73,324,400,582,848,795,896,1034,1168,1271,1406,1565,1645,1708,1846,1987,2160,2227,2361,2453,2559,2658,2809,2928,3025,3169,3398,3542,3789,3453,3343,3213,3020,2903,2785,2698,2587,2414,2283,2165,2065,2001,1646,1670,1778,1449,1402,1243,1110,976,873,745,637,506,394,282,229,55,0,0
380,0,Fake,3714,0,0,0,116,199,272,447,595,688,935,899,1011,1145,1280,1398,1520,1649,1735,1856,2155,2106,2211,2321,2472,2362,2694,2817,2947,3040,3200,3378,3536,3714,3527,3312,3466,3041,2928,2922,2658,2534,2407,2315,2159,2076,1964,1808,1710,1535,1491,1393,1040,1057,982,859,751,624,497,387,298,154,112,0,0
